Name,Information
Bean,"Vitamin B1,vitamin B9,Protein,Fat,Carbs"
Bitter_Gourd,"Vitamin A,C,B1,B2,B3"
Bottle_Gourd,"Low in saturated fat, cholesterol, and high in dietary fibre, vitamin C, riboflavin, zinc, thiamine, iron, magnesium and manganese."
Brinjal,"Carbs,Protein,Potassium,Vitamin K,C"
Broccoli,"Vitamin A,C,K,B9,Proteins, Fat"
Cabbage,"Proteins, Fat, Vitamin K,C,B6"
Capsicum,"Proteiins,Iron, Fe,Mg,P,Lipid,Sugar"
Carrot,"Proteins,Carbs,Sugar,Fiber,Fat"
Cauliflowers,"Vitamin C,K,B6,Folate,Potassium"
Cucumber,"0% Fat, Carbs,Proteins,Fiber, Vitamin K,C"
Papaya,"Carbonhydrates, Fiber,Protein,Vitamin C,A,B9"
Potato,"Protein,0% Fat,Carbonhydrates,Fiber,Sugar"
Pumpkin,"Protein,Carbs,Vitamin A,C,B2,E,Iron"
Radish,"Calcium,Vitamin C,B6,Folate,Niacin,Iron"
Tomato,"Water,Proteins,Carbs,Sugar, Fiber,Far"
